"filename", "language", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\AboutUs.html", "HTML", 0, 0, 91, 0, 20, 111
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Coding_Courses.html", "HTML", 0, 0, 170, 0, 26, 196
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\ContactUs.html", "HTML", 0, 0, 353, 0, 45, 398
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Development_Courses.html", "HTML", 0, 0, 208, 0, 28, 236
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Index.html", "HTML", 0, 0, 79, 3, 16, 98
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Login.html", "HTML", 0, 0, 77, 0, 35, 112
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\NetworkSec_Courses.html", "HTML", 0, 0, 196, 0, 38, 234
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Register.html", "HTML", 0, 0, 673, 0, 158, 831
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Subject_Areas.html", "HTML", 0, 0, 123, 0, 29, 152
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\script.js", "JavaScript", 0, 86, 0, 0, 35, 121
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\stylesheet.css", "CSS", 447, 0, 0, 74, 164, 685
"Total", "-", 447, 86, 1970, 77, 594, 3174
