"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\AboutUs.html", "HTML", 91, 0, 0, 0, 20, 111
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Coding_Courses.html", "HTML", 170, 0, 0, 0, 26, 196
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\ContactUs.html", "HTML", 353, 0, 0, 0, 45, 398
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Development_Courses.html", "HTML", 208, 0, 0, 0, 28, 236
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Index.html", "HTML", 79, 0, 0, 3, 16, 98
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Login.html", "HTML", 77, 0, 0, 0, 35, 112
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\NetworkSec_Courses.html", "HTML", 196, 0, 0, 0, 38, 234
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Register.html", "HTML", 673, 0, 0, 0, 158, 831
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\Subject_Areas.html", "HTML", 123, 0, 0, 0, 29, 152
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\script.js", "JavaScript", 0, 0, 86, 0, 35, 121
"c:\Users\Μαρίνα Σαμ\Desktop\WebDevelopment\Exercise5\stylesheet.css", "CSS", 0, 447, 0, 74, 164, 685
"Total", "-", 1970, 447, 86, 77, 594, 3174
